COLOR ID,COLOR,SHORTCUT,,,,
201,OFF WHITE/GREEN,O.WHT/GRN,,,,
202,OFF WHITE/RED,O.WHT/RED,,,,
203,Caribbean Green,C.GREEN,,,,
204,DARK LILAC,DK.LILAC,,,,
205,POWDER BLUE,P.BLUE,,,,
206,CORAL,CORAL,,,,
207,TOMATO,TOMATO,,,,
208,BEIGE/BLUE,BEI/BLU,,,,
209,NEON PINK,N.PNK,,,,
210,NEON GREEN,NEO. GRN,,,,
211,MONZA,MONZA,,,,
212,DARK CORAL,D.CORAL,,,,
213,PUMPKIN,PUMPKIN,,,,
214,BORLAND,BORLAND,,,,
215,HOTPINK,HOTPNK,,,,
216,WINE RED,W.RED,,,,
217,GRAPE,GRAPE,,,,
218,NEW BLUE,NEW BLU,,,,
219,PERSIAN BLUE,PER.BLUE,,,,
220,TEAL,TEAL,,,,
221,FERN GREEN,FERN.GRN,,,,
222,DARK CYAN,DK. CYAN,,,,
223,ROSY BROWN,ROSY BRO,,,,
224,SALMON,SALMON,,,,
225,CARMINE,CARMINE,,,,
226,LILAC,LILAC,,,,
227,Dark Olive,DK.OLIVE,,,,
228,RUSSET,RUSSET,,,,
229,PRINTED,PRINTED,,,,
230,PERIWINKLE,PERIWINKLE,,,,
231,FOREST GREEN,FOREST GRN,,,,
232,BLUE/GRAY,BLU/GRY,,,,
233,METALLIC BLACK,MET BLK,,,,
234,METALLIC BRONZE,MET BRNZ,,,,
235,METALLIC COFFEE,MET COFF,,,,
236,METALLIC GREEN,MET GRN,,,,
237,METALLIC PURPLE,MET PURP,,,,
238,METALLIC BLUE,MET BLU,,,,
239,METALLIC RED,MET RED,,,,
240,METALLIC SILVER,MET SIL,,,,
241,SIENNA,SIENNA,,,,
242,PALE TURQUOISE,P.TURQ,,,,
243,Black/Red,BLK/RED,,,,
244,GOLD / BLUE,GOLD/BLU,,,,
245,SILVER/BLUE,SIL/BLU,,,,
246,PRINTED DOLL,P.DOLL,,,,
247,BLACK/ FUSCHIA,BLK/FUSH,,,,
248,PURPLE/MUSTARD,PURP/MUST,,,,
249,TANGERINE/AQUA GREEN,TANG/AQ.GRN,,,,
250,YELLOW/COFFEE,YEL/COF,,,,
251,ORANGE/KHAKI,ORG/KHK,,,,
252,RED/HAT,RED/HAT,,,,
253,GRAY / WHITE,GRY / WHT,,,,
254,TAN / WHITE,TAN / WHT,,,,
255,YELLOW /WHITE,YEL / WHT,,,,
256,GREEN / WHITE,GRN / WHT,,,,
257,RED / WHITE,RED / WHT,,,,
258,White/Green,WHT/GRN,,,,
259,WHITE/RED,WHT/RED,,,,
260,METALLIC SILVER/GRAY,MET SIL/GRY,,,,
261,METALLIC GRAY,MET GRY,,,,
262,White/ Tan,WHT/ TAN,,,,
263,WHITE / GRAY,WHT/GRY,,,,
264,WHITE / YELLOW,WHT/YEL,,,,
265,FRESH POWDER,F.POWDER,,,,
266,LIGHT COCOA,LT.COCOA,,,,
267,SOFT PINK,S.PINK,,,,
268,WHEAT,WHEAT,,,,
269,LIGHT SALMON,LT.SALMON,,,,
270,MOSS GREEN,MOSS GRN,,,,
271,ARMY GREEN,ARMY GRN,,,,
272,INDIAN RED,INDIAN RED,,,,
273,LIGHT CAMEL,L.CAMEL,,,,
274,RED WINE,R.WINE,,,,
275,ICE BLUE,ICE BLUE,,,,
276,SOIL GRAY,SOIL GRY,,,,
277,GINGER YEL,G.YEL,,,,
278,METER GRAY,M.GRY,,,,
279,WATER BLUE,W.BLUE,,,,
280,DEEP BLUE,DP. BLU,,,,
281,PEACOCK BLUE,PC.BLUE,,,,
282,INK BLUE,INK BLU,,,,
283,MILITARY GREEN,MIL.GRN,,,,
284,PEARL BRONZE,PEARL BRNZ,,,,
285,PEARL POWDER PINK,PEARL P.PINK,,,,
286,PEARL BLUE,PEARL BLU,,,,
287,PEARL DARK GRAY,PEARL DK.GRY,,,,
288,PEARL SILVER/GRAY,PEARL SIL/GRY,,,,
289,PEARL BLACK,PEARL BLK,,,,
290,SAPPHIRE BLUE,SAP.BLU,,,,
291,WATTS GRAY,W.GRY,,,,
292,SHALLOW SANDY,S.SANDY,,,,
293,DEEP BEIGE,DP.BEI,,,,
294,RAINBOW,RAINBOW,,,,
295,LIGHT APRICOT,LT.APRI,,,,
296,METERS WHITE,M.WHT,,,,
297,DEEP CAMEL,DP.CAMEL,,,,
298,FOG GRAY,F.GRY,,,,
